"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\otero\OneDrive\Imágenes\proyectoSoftware\src\pages\Agua.tsx", "TypeScript JSX", 177, 0, 16, 193
"c:\Users\otero\OneDrive\Imágenes\proyectoSoftware\src\pages\Ejercicio.tsx", "TypeScript JSX", 459, 1, 26, 486
"c:\Users\otero\OneDrive\Imágenes\proyectoSoftware\src\pages\EstadoEmocional.tsx", "TypeScript JSX", 155, 0, 10, 165
"c:\Users\otero\OneDrive\Imágenes\proyectoSoftware\src\pages\Home.tsx", "TypeScript JSX", 98, 0, 1, 99
"c:\Users\otero\OneDrive\Imágenes\proyectoSoftware\src\pages\Login.tsx", "TypeScript JSX", 97, 1, 7, 105
"c:\Users\otero\OneDrive\Imágenes\proyectoSoftware\src\pages\Perfil.tsx", "TypeScript JSX", 215, 0, 12, 227
"c:\Users\otero\OneDrive\Imágenes\proyectoSoftware\src\pages\Recetas.tsx", "TypeScript JSX", 105, 5, 7, 117
"c:\Users\otero\OneDrive\Imágenes\proyectoSoftware\src\pages\Register.tsx", "TypeScript JSX", 177, 3, 9, 189
"c:\Users\otero\OneDrive\Imágenes\proyectoSoftware\src\pages\Sueño.tsx", "TypeScript JSX", 157, 1, 13, 171
"Total", "-", 1640, 11, 101, 1752
